method,scenario,training_gpu_hours,train_minutes_per_task_mean,gpu_peak_allocated_bytes,gpu_peak_device_used_bytes,energy_joules_device_counter,gpu_util_percent_sample_mean,resident_parameters,checkpoint_bytes,gpu_exclusive_all_seeds
ewc,class_il,0.129544,0.777262,897328810.666667,2276436650.666667,56009.374667,20.473691,11194482,134505808,True
ewc,task_il,0.145551,0.873304,801687040,2148510378.666667,64686.227333,21.329221,11194482,134510672,True
joint,class_il,0.472841,2.837047,694925994.666667,2093984426.666667,241620.807,25.576184,22388964,44901232,True
joint,task_il,0.672129,4.032776,636187477.333333,2001010688,304299.674,21.96369,22388964,44904112,True
lwf,class_il,0.076307,0.457844,810088960,2144316074.666667,43261.488333,28.253215,22388964,89782356,True
lwf,task_il,0.149135,0.89481,3404307114.666667,4793718101.333333,133600.513667,68.592605,22388964,89781972,True
nispa,class_il,0.067034,0.402205,543810389.333333,1985631573.333333,31509.118333,26.427343,8752292,78800694,True
nispa,task_il,0.060504,0.363027,503377920,1991923029.333333,27277.466,22.044509,8752292,78801782,True
pec,class_il,0.41779,2.506739,2215711744,4473552896,346163.903333,59.621013,16700772,66977378,True
sgd,class_il,0.071605,0.429632,543789056,1916425557.333333,43366.316333,28.938927,11194482,44901040,True
sgd,task_il,0.051079,0.306475,543487488,1915027456,31894.237,29.734817,11194482,44894576,True
si,class_il,0.151892,0.911351,2219617280,3542417408,74669.037667,25.197798,11194482,313719696,True
si,task_il,0.161233,0.9674,1984848042.666667,3297050624,75509.71,22.371495,11194482,313621466,True
snv,class_il,1.355172,8.131032,811324245.333333,2428130645.333333,1151794.247333,73.706186,11215002,46851250,True
snv,task_il,1.616716,9.700296,770601813.333333,2428851541.333333,1534339.891333,84.300171,11194482,46774306,True
spacenet,class_il,0.081469,0.488814,105938602.666667,1335514453.333333,22283.586333,8.765709,1409650,14158092,True
spacenet,task_il,0.048153,0.288917,105200298.666667,1334815402.666667,13627.964,8.520368,1409650,14144396,True
uniclun,class_il,0.226253,1.357516,1074325845.333333,2514812928,143815.354,32.022331,23045604,104717496,True
uniclun,task_il,0.123612,0.741671,1074325845.333333,2514812928,92788.554667,43.237474,23045604,104715000,True
wsn,task_il,0.075421,0.452524,945649834.666667,2391080960,51140.588667,42.287253,22353714,213437174,True
