method,scenario,seed,run,ACC,AvgAcc,BWT,FWT,PS,P,S,AF,HARMONIC
ewc,class_il,42,ewc_class_il_clean_eval_s42,0.090167,0.249121,-0.83463,-0.018148,0.276278,0.838889,0.16537,0.83463,0.132409
ewc,class_il,43,ewc_class_il_clean_eval_s43,0.077,0.242643,-0.828333,-0.028519,0.283999,0.821667,0.171667,0.828333,0.116902
ewc,class_il,44,ewc_class_il_clean_eval_s44,0.084667,0.247546,-0.870926,-0.025926,0.224914,0.873519,0.129074,0.870926,0.126178
ewc,task_il,42,ewc_task_il_clean_eval_s42,0.6935,0.733672,-0.058704,-0.001296,0.780685,0.666895,0.941296,0.059444,0.713021
ewc,task_il,43,ewc_task_il_clean_eval_s43,0.739333,0.768313,-0.040926,0.018889,0.809204,0.699843,0.959074,0.042778,0.753545
ewc,task_il,44,ewc_task_il_clean_eval_s44,0.6935,0.711968,-0.074074,0.017963,0.790534,0.689686,0.925926,0.077037,0.702613
joint,class_il,42,joint_class_il_clean_eval_s42,0.671667,0.71576,-0.05463,-0.018148,0.807438,0.70463,0.94537,0.067222,0.693013
joint,class_il,43,joint_class_il_clean_eval_s43,0.626833,0.715124,-0.09537,-0.028333,0.793342,0.706436,0.90463,0.117963,0.668074
joint,class_il,44,joint_class_il_clean_eval_s44,0.664333,0.716492,-0.06037,-0.025741,0.804098,0.702735,0.93963,0.076111,0.689428
joint,task_il,42,joint_task_il_clean_eval_s42,0.865333,0.866321,0.004444,-0.009259,0.909966,0.831734,1.004444,0.024074,0.865827
joint,task_il,43,joint_task_il_clean_eval_s43,0.8815,0.855644,0.033519,0.005,0.913388,0.818276,1.033519,0.001667,0.86838
joint,task_il,44,joint_task_il_clean_eval_s44,0.889833,0.866287,0.015926,-0.011667,0.927543,0.853307,1.015926,0.015185,0.877902
lwf,class_il,42,lwf_class_il_clean_eval_s42,0.094833,0.254535,-0.813889,-0.018148,0.303621,0.823704,0.186111,0.813889,0.138183
lwf,class_il,43,lwf_class_il_clean_eval_s43,0.086167,0.244828,-0.79537,-0.028519,0.326735,0.810185,0.20463,0.79537,0.12747
