method,scenario,seeds,ACC_mean,ACC_sd,AvgAcc_mean,AvgAcc_sd,BWT_mean,BWT_sd,FWT_mean,FWT_sd,PS_mean,PS_sd,P_mean,P_sd,S_mean,S_sd,AF_mean,AF_sd,HARMONIC_mean,HARMONIC_sd
ewc,class_il,3,0.083944,0.006613,0.246436,0.003379,-0.84463,0.02299,-0.024198,0.005397,0.26173,0.032117,0.844691,0.026408,0.15537,0.02299,0.84463,0.02299,0.125163,0.007803
ewc,task_il,3,0.708778,0.026462,0.737985,0.028419,-0.057901,0.016589,0.011852,0.011396,0.793475,0.014485,0.685475,0.016873,0.942099,0.016589,0.059753,0.017132,0.723059,0.026909
joint,class_il,3,0.654278,0.024049,0.715792,0.000684,-0.070123,0.022052,-0.024074,0.005293,0.801626,0.007366,0.7046,0.001851,0.929877,0.022052,0.087099,0.027096,0.683505,0.013483
joint,task_il,3,0.878889,0.012457,0.862751,0.006154,0.017963,0.014644,-0.005309,0.009008,0.916966,0.009318,0.834439,0.017671,1.017963,0.014644,0.013642,0.011283,0.870703,0.006364
lwf,class_il,3,0.100556,0.017948,0.249674,0.004854,-0.800185,0.012041,-0.024198,0.005397,0.321496,0.015916,0.823765,0.013611,0.199815,0.012041,0.800185,0.012041,0.142784,0.018058
lwf,task_il,3,0.778056,0.024913,0.799349,0.008103,-0.07963,0.015717,-0.015309,0.032663,0.864239,0.017747,0.814713,0.023224,0.92037,0.015717,0.079877,0.015885,0.788494,0.016626
mcl,class_il,3,0.272167,0.025512,0.453393,0.021211,-0.411914,0.053259,-0.022284,0.004446,0.601421,0.015638,0.619383,0.028866,0.588086,0.053259,0.411914,0.053259,0.340023,0.025981
mcl,task_il,3,0.782889,0.057023,0.810321,0.033891,-0.076481,0.045285,-0.006358,0.022481,0.865124,0.032255,0.813809,0.022027,0.923519,0.045285,0.078025,0.045119,0.796084,0.043936
nispa,class_il,3,0.082444,0.005386,0.23666,0.00188,-0.788889,0.011432,-0.019321,0.002621,0.333034,0.013025,0.790519,0.015075,0.211111,0.011432,0.788889,0.011432,0.122236,0.006215
nispa,task_il,3,0.800167,0.015543,0.805204,0.003948,0.0,0.0,-0.027037,0.01881,0.85825,0.014368,0.751882,0.022176,1.0,0.0,0.0,0.0,0.802641,0.009256
pec,class_il,3,0.328444,0.012518,0.437299,0.025225,-0.127037,0.005472,0.0,0.0,0.56426,0.003819,0.416852,0.003093,0.872963,0.005472,0.127037,0.005472,0.375069,0.016741
sgd,class_il,3,0.087167,0.00696,0.248925,0.006178,-0.858457,0.013739,-0.024198,0.005397,0.242936,0.019978,0.86216,0.009591,0.141543,0.013739,0.858457,0.013739,0.129059,0.008282
sgd,task_il,3,0.508111,0.029864,0.592466,0.013064,-0.344383,0.028334,0.010123,0.025101,0.709875,0.022076,0.77434,0.02014,0.655617,0.028334,0.344383,0.028334,0.546621,0.016211
si,class_il,3,0.085556,0.004945,0.246011,0.006608,-0.850988,0.016904,-0.023765,0.006126,0.253388,0.023606,0.854058,0.014741,0.149012,0.016904,0.850988,0.016904,0.126932,0.00613
si,task_il,3,0.673389,0.011355,0.690297,0.006839,-0.113951,0.015501,0.002901,0.004025,0.791003,0.007891,0.714709,0.017935,0.886049,0.015501,0.114321,0.016104,0.681717,0.008203
snv,class_il,3,0.361778,0.020592,0.526045,0.024747,-0.186173,0.01215,0.155556,0.016488,0.538356,0.026657,0.403002,0.031967,0.813827,0.01215,0.186173,0.01215,0.428697,0.022521
snv,task_il,3,0.8175,0.015659,0.837797,0.006351,0.0,0.0,0.004877,0.001864,0.865021,0.015746,0.762372,0.024368,1.0,0.0,0.0,0.0,0.827491,0.010253
spacenet,class_il,3,0.067722,0.004302,0.195484,0.00944,-0.65463,0.014545,-0.018642,0.001927,0.452561,0.008616,0.657654,0.019525,0.34537,0.014545,0.65463,0.014545,0.100585,0.005911
spacenet,task_il,3,0.636056,0.013187,0.638869,0.035937,-0.016235,0.00293,-0.002037,0.006859,0.716846,0.011032,0.563924,0.01317,0.983765,0.00293,0.019383,0.004167,0.637128,0.02027
uniclun,class_il,3,0.3275,0.040438,0.516574,0.012467,-0.588395,0.074689,-0.019136,0.0066,0.551838,0.061735,0.854383,0.028134,0.411605,0.074689,0.588395,0.074689,0.400176,0.0334
uniclun,task_il,3,0.694556,0.027047,0.759036,0.013855,-0.213642,0.018598,-0.001358,0.004399,0.821124,0.014611,0.859154,0.010037,0.786358,0.018598,0.214198,0.017647,0.725304,0.020764
wsn,task_il,3,0.847,0.018352,0.840249,0.011737,0.0,0.0,-0.002963,0.016481,0.894242,0.016153,0.808973,0.026592,1.0,0.0,0.0,0.0,0.843585,0.014216
